cell,prompt,view,treatment,pairs,trials,mu,se,ci_lo,ci_hi,t,p,pick_winner_rate,mu_nontie,pairs_nontie,logprob_p_winner,consistent_rate,tie_rate,pick_first_rate,parse_fail_rate,skipped,cached_share
ignore_comp|full|salary,ignore_comp,full,salary,120,240,0.1375,0.027092085420597926,0.0838549650057132,0.1911450349942868,5.075282978971405,1.4440499282976536e-06,0.6375,0.1375,120,0.638060281149611,0.425,0.0,0.7541666666666667,0.0,0,0.0
neutral|blind|salary,neutral,blind,salary,120,240,0.041666666666666664,0.024096657988965226,-0.006047122840308512,0.08938045617364185,1.729147115992077,0.08637600150909178,0.5416666666666666,0.041666666666666664,120,0.5543841624218603,0.2833333333333333,0.0,0.8583333333333333,0.0,0,0.0
neutral|full|base,neutral,full,base,120,240,-0.03333333333333333,0.0219284976747331,-0.07675394886995864,0.01008728220329197,-1.5200919747339254,0.13114045402193053,0.4666666666666667,-0.03333333333333333,120,0.47765626448029797,0.23333333333333334,0.0,0.85,0.0,0,0.0
neutral|full|move,neutral,full,move,120,240,0.03333333333333333,0.021928497674733097,-0.010087282203291963,0.07675394886995862,1.5200919747339257,0.13114045402193053,0.5333333333333333,0.03333333333333333,120,0.5365348462638436,0.23333333333333334,0.0,0.85,0.0,0,0.0
neutral|full|salary,neutral,full,salary,120,240,0.14583333333333334,0.02245118680565149,0.10137774111315115,0.19028892555351554,6.495573467707447,2.007888550323342e-09,0.6458333333333334,0.14583333333333334,120,0.6440059490932398,0.325,0.0,0.8125,0.0,0,0.0
neutral|no_salary|salary,neutral,no_salary,salary,120,240,0.058333333333333334,0.020653989967735084,0.017436370349878223,0.09923029631678845,2.824313046750752,0.005557138602788177,0.5583333333333333,0.058333333333333334,120,0.5644020348926556,0.21666666666666667,0.0,0.875,0.0,0,0.0
rubric|full|salary,rubric,full,salary,120,240,0.275,0.024289627300511613,0.22690411198307187,0.3230958880169282,11.321705211763692,1.2978484885605625e-20,0.775,0.275,120,,0.5833333333333334,0.0,0.6416666666666667,0.0,0,0.0
tie_allowed|full|base,tie_allowed,full,base,120,240,-0.008333333333333333,0.0215256128244855,-0.05095619662775699,0.034289529961090325,-0.38713570671744696,0.6993472283578053,0.49166666666666664,-0.0047169811320754715,106,0.48475882075439747,0.2358490566037736,0.09166666666666666,0.8715596330275229,0.0,0,0.0
