variant,seed,gap_t0_pct,gap_pct,winner_ahead_pct,amplification,group_gap_pct,t_stat
as shipped,0,12.052974014610268,16.019274116521554,73.75,1.3056600720542755,1.6179851069391324,11.241370028613263
p_move 0.20,0,12.052974014610268,16.512435528469677,74.25,1.3429326430101618,1.817472955836711,11.56270035050563
p_move 0.40,0,12.052974014610268,15.367301447844065,72.25,1.2561408085220318,1.342270759565553,11.588185153824748
job_premium 1.06,0,6.050136120970421,13.846306733658084,69.25,2.207613888804813,1.614740085908406,9.63631385286225
job_premium 1.18,0,18.055811908250092,18.40089513267506,76.25,1.0175844030740449,1.521081579650098,12.94579234525483
anchor_floor 1.03,0,12.052974014610268,14.349758459530848,71.75,1.1782934011109898,1.2540555095510344,10.650747061656435
anchor_floor 1.09,0,12.052974014610268,17.021654661548588,72.25,1.3812536499377388,2.0609685861818225,10.727219831616205
no step-up on hire,0,12.052974014610268,6.378368024396789,60.5,0.5433323103146779,1.126862158144479,4.490141656615411
as shipped,1,12.054191940372874,15.11970895475295,70.0,1.2371439104790865,-1.3558710024090959,11.522126226958274
p_move 0.20,1,12.054191940372874,16.30473768469585,71.0,1.3271275926137787,-2.629137060172638,12.171137456455833
p_move 0.40,1,12.054191940372874,14.387888758550037,72.0,1.1811102344947708,-0.9249243936764521,11.983096917636606
job_premium 1.06,1,6.0512888007100285,12.976965020994157,67.25,2.07673640798657,-1.2873022457345547,9.780683368494378
job_premium 1.18,1,18.057095080035694,17.57804904559073,75.25,0.9755057324338787,-1.411397382234613,13.493738198269451
anchor_floor 1.03,1,12.054191940372874,13.73036945329603,70.0,1.130459005966113,-0.878949920210379,10.937997406399985
anchor_floor 1.09,1,12.054191940372874,15.965410131594474,70.5,1.3014551993339438,-1.8122331742637956,11.05351290520193
no step-up on hire,1,12.054191940372874,6.2358537981243005,61.0,0.5315014795953698,-1.6584480885708235,4.8826259139053985
as shipped,2,12.070819447653397,15.454722058896254,71.5,1.2610322831807748,1.059898112692438,11.063251927995822
p_move 0.20,2,12.070819447653397,17.897582455710598,75.0,1.4447609480579258,0.2794447365185783,12.37043703378925
p_move 0.40,2,12.070819447653397,14.370480094672706,70.25,1.1782368691735248,0.18530568882942755,10.629114292108182
job_premium 1.06,2,6.067025548671953,13.372228056822772,69.5,2.130799476849346,1.3840559597611772,9.54857138365372
job_premium 1.18,2,18.074613346634813,17.852986039476875,74.5,0.9886920650038465,0.7636878794053209,12.773269582330336
anchor_floor 1.03,2,12.070819447653397,13.546620893893618,71.25,1.1147984321571625,0.4746158651461956,10.682389205420087
anchor_floor 1.09,2,12.070819447653397,16.877366094896548,72.0,1.3684972672516975,1.3977776743741919,10.523786688762604
no step-up on hire,2,12.070819447653397,7.005013088500993,62.0,0.5941121639785364,0.19198431473687327,5.11886316390259
as shipped,3,11.967432377760744,15.312643645466311,72.0,1.2604351594640373,-0.35941335451004236,11.492136840890371
p_move 0.20,3,11.967432377760744,17.133670705258027,75.25,1.399049666894056,-1.625101913641173,12.617431143227156
p_move 0.40,3,11.967432377760744,14.056928218206648,67.75,1.1635703940805238,0.06221780955055021,10.512087285588432
job_premium 1.06,3,5.969177071809264,13.02511270728886,69.25,2.1118297983594605,-0.5211598002719894,9.685186090517238
job_premium 1.18,3,17.965687683712204,17.81165713773895,75.5,0.9920920717069462,-0.1757471090773309,13.464771743122782
anchor_floor 1.03,3,11.967432377760744,13.219410632407,71.25,1.0983703721210276,0.019383602152451815,10.607783838753855
anchor_floor 1.09,3,11.967432377760744,16.862446568200447,72.5,1.3785415423839231,-0.8018451984263375,11.25950850747841
no step-up on hire,3,11.967432377760744,6.983002862356165,60.25,0.5971431491686231,0.06605809972217348,5.43463824136189
as shipped,4,11.976741189178117,12.117220757945745,66.0,1.0110833192614868,-2.09091223265157,9.148416578464
p_move 0.20,4,11.976741189178117,14.903080764730909,69.75,1.2280550583397822,-1.360017674288489,10.770883784865083
p_move 0.40,4,11.976741189178117,11.525716867953948,65.75,0.9643216284844699,-2.7998426646186862,9.233024317732726
job_premium 1.06,4,5.977987196900707,9.93516268418238,63.5,1.631391454663385,-2.10807233827503,7.449141945762931
job_premium 1.18,4,17.975495181455504,14.505114658274637,69.0,0.8193815822225423,-2.0044570533520614,10.981792174073771
anchor_floor 1.03,4,11.976741189178117,10.802795513578298,64.75,0.9068327020978931,-2.2683269914957913,8.521959146649507
anchor_floor 1.09,4,11.976741189178117,13.024715026300553,67.0,1.0823483740041333,-1.9625937144488186,8.775284929395196
no step-up on hire,4,11.976741189178117,3.6618200855906315,56.49999999999999,0.31792227953717445,-2.324699716494148,2.7863640317285574
