contrast,x,y,pairs,mu_x,mu_y,diff,se,t,p
H2 salary: redacted vs shown,neutral|no_salary|salary,neutral|full|salary,120,0.05833333333333335,0.14583333333333337,-0.0875,0.017415763650480896,-5.024183937956915,1.79970343784182e-06
H3 redact salary vs full,neutral|no_salary|salary,neutral|full|salary,120,0.05833333333333335,0.14583333333333337,-0.0875,0.017415763650480896,-5.024183937956915,1.79970343784182e-06
H3 blind vs full,neutral|blind|salary,neutral|full|salary,120,0.04166666666666663,0.14583333333333337,-0.10416666666666667,0.022837749271401066,-4.561161672665836,1.2444237837578216e-05
H3 instruct vs full,ignore_comp|full|salary,neutral|full|salary,120,0.13749999999999996,0.14583333333333337,-0.008333333333333333,0.020483761872928843,-0.40682631369321826,0.6848663455267836
H3 REDACTION vs INSTRUCTION,neutral|no_salary|salary,ignore_comp|full|salary,120,0.05833333333333335,0.13749999999999996,-0.07916666666666666,0.022914279223741778,-3.454905384265418,0.0007636110464782507
H3 BLIND vs INSTRUCTION,neutral|blind|salary,ignore_comp|full|salary,120,0.04166666666666663,0.13749999999999996,-0.09583333333333334,0.023142350659003434,-4.141037129089122,6.492049055171616e-05
H4 rubric vs neutral,rubric|full|salary,neutral|full|salary,120,0.275,0.14583333333333337,0.12916666666666668,0.02329315768943156,5.545262191964272,1.7980695083800833e-07
