contrast,x,y,pairs,mu_x,mu_y,diff,se,t,p
H3 redact salary vs full,neutral|no_salary|both,neutral|full|both,100,0.31000000000000005,0.44499999999999995,-0.135,0.022309802166923683,-6.051151820617657,2.5755954906033912e-08
wording: neutral_b vs neutral,neutral_b|full|both,neutral|full|both,100,0.47,0.44499999999999995,0.025,0.013055824196677338,1.9148542155126762,0.05839774428202226
wording: neutral_c vs neutral,neutral_c|full|both,neutral|full|both,100,0.48,0.44499999999999995,0.035,0.016291225871739683,2.1483957239040157,0.034121590300604715
wording: redaction under neutral_b,neutral_b|no_salary|both,neutral_b|full|both,100,0.395,0.47,-0.075,0.017943514064131836,-4.1797832761154154,6.302807064399394e-05
wording: redaction under neutral_c,neutral_c|no_salary|both,neutral_c|full|both,100,0.45999999999999996,0.48,-0.02,0.012143918126978109,-1.6469149240696337,0.10274631195020735
