elasticity,"corr(pay, slope)",gap t0 %,gap t20 %,amplification,winner ahead %,dollar gap t20
0.0,-0.3790053587472034,12.052974014610268,16.019274116521554,1.3056600720542755,73.75,66865.47513064112
0.01,-0.23799476577843462,12.052974014610268,18.43776517152246,1.4869519759383651,75.25,84431.17247027163
0.02,-0.08568263607770808,12.052974014610268,21.11741608872119,1.6835470193128406,77.5,107148.58497137691
0.03,0.063580973715245,12.052974014610268,24.092995114854663,1.8968199309766813,78.0,136945.99433022618
0.05,0.3080159572589915,12.052974014610268,31.117716804832824,2.3806821749314158,76.75,230407.71040443555
